cas,chemical_name,wave,true_cameo_groups,original_selection_status,phase6_status,review134_status,final_decision,final_reason,in_A_426,in_B_259
628-86-4,"MERCURY FULMINATE, [WET]",,24;68,DUPLICATE,,,REVIEW,"Phase3 REVIEW(근거 빈약, 동일 true_groups=(24, 68) 물질 2종 중 2순위 + §10 실질근거 없음 — 제거해도 cov)",True,True
63868-82-6,ZIRCONIUM PICRAMATE,,13;46;54;68,REVIEW,,,REVIEW,"Phase3 REVIEW(근거 빈약, 동일 true_groups=(13, 46, 54, 68) 물질 2종 전부 §10 실질근거 없음 — 그중 1순)",True,True
6484-52-2,AMMONIUM NITRATE,,12;19;43;60;68,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,True
65-30-5,"NICOTINE SULFATE, SOLID",,60;68,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
7446-70-0,"ALUMINUM CHLORIDE, ANHYDROUS",,3;32;68,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,True
76-03-9,TRICHLOROACETIC ACID,,2;31;68,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, metal)",True,True
7631-90-5,SODIUM BISULFITE,,65;68,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
7632-00-0,SODIUM NITRITE,,43;68,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,True
7646-85-7,"ZINC CHLORIDE, ANHYDROUS",,3;68,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,True
7681-38-1,"SODIUM BISULFATE, SOLID",,60;68,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
7681-49-4,SODIUM FLUORIDE,,61;68,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,True
7773-03-7,POTASSIUM BISULFITE SOLUTION,,65;68,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
7783-18-8,AMMONIUM THIOSULFATE,,60;65;68,REVIEW,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
7784-30-7,"ALUMINUM PHOSPHATE, SOLUTION",,60;68,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
7784-46-5,"SODIUM ARSENITE, AQUEOUS SOLUTION",,61;68,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
7788-97-8,"CHROMIC FLUORIDE, SOLID",,61;68,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,"PHASE7 평가셋에 등장했으나 hit_rate<0.5 — 근거 불충분, 확정 보류",True,False
7789-29-9,POTASSIUM BIFLUORIDE,,29;60;68,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
78-11-5,PENTAERYTHRITE TETRANITRATE,,46;68,DUPLICATE,,,REVIEW,"Phase3 REVIEW(근거 빈약, 동일 true_groups=(46, 68) 물질 4종 중 3순위 + §10 실질근거 없음 — 제거해도 cov)",True,True
78-18-2,1-HYDROXY-1&#39;-HYDROPEROXY DICYCLOHEXYL PEROXIDE,,1;8;53;68,DUPLICATE,RETAIN_COVERAGE,,KEEP_COVERAGE,259 기준 재계산시 그룹1 대표물질 <=2종(누적효과),True,False
79-06-1,ACRYLAMIDE,,6;12;56;68,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, metal)",True,True
79-08-3,BROMOACETIC ACID,,2;31;68,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,"PHASE7 평가셋에 등장했으나 hit_rate<0.5 — 근거 불충분, 확정 보류",True,False
82-71-3,TRINITRORESORCINOL,,46;55;68,DUPLICATE,,,REVIEW,"Phase3 REVIEW(근거 빈약, 동일 true_groups=(46, 55, 68) 물질 3종 중 2순위 + §10 실질근거 없음 — 제거해도)",True,True
831-52-7,SODIUM PICRAMATE,,13;46;54;68,DUPLICATE,,,REVIEW,"Phase3 REVIEW(근거 빈약, 동일 true_groups=(13, 46, 54, 68) 물질 2종 중 2순위 + §10 실질근거 없음 — )",True,True
88-89-1,"PICRIC ACID, WETTED WITH NOT LESS THAN 30% WATER BY MASS",,46;55;68,DUPLICATE,,,REVIEW,"Phase3 REVIEW(근거 빈약, 동일 true_groups=(46, 55, 68) 물질 3종 중 3순위 + §10 실질근거 없음 — 제거해도)",True,True
924-42-5,N-METHYLOLACRYLAMIDE,,6;8;12;56;68,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,True
96-91-3,"2-AMINO-4,6-DINITROPHENOL",,13;46;55;68,REVIEW,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (13, 46, 55, 68)은 유일하나 §10 실질근거 없음(자료없음뿐) — g)",True,True
99-35-4,"TRINITROBENZENE, WETTED WITH NOT LESS THAN 30% WATER",,46;68,DUPLICATE,,,REVIEW,"Phase3 REVIEW(근거 빈약, 동일 true_groups=(46, 68) 물질 4종 중 4순위 + §10 실질근거 없음 — 제거해도 cov)",True,True
